n11845793 hedgehog_cactus
n02857477 boarding_house
n12932365 angelica_sylvestris
n03291741 envelope
n01538200 yellowhammer
n03834040 nuclear_reactor
n12588780 wax_palm
n02377388 gelding
n02865931 bolt
n01386007 pathogen
n04093157 ringlet
n03175189 denim
n03527149 hollowware
n02904640 broadsword
n04273796 speedometer
n04172904 separate
n02958343 motorcar
n04190052 shelf
n07606058 jujube
n03628728 crease
n03712337 mainsail
n04136045 sarcophagus
n02903727 broadcloth
n02776205 decoy
n03991837 potentiometer
n00483848 pallone
n12365900 clusia
n04160586 hydroplane
n06274092 long_distance
n12926480 cassava
n07683138 host
n04168840 seismograph
n11616662 pinus_sylvestris
n03098688 control_room
n03638180 lander
n04459018 toupee
n03977158 pole
n01495006 bonnethead
n05261310 thatch
n04366116 suspension
n03432360 geiger_counter
n03697366 lem
n07592768 ratatouille
n09478210 whin
n01860002 trumpeter_swan
n03880531 cooking_pan
n02441326 mustelid
n09270657 drumlin
n03410147 gaff
n03427202 rod
n04165945 security_system
n02820210 bedclothes
n12866459 salvia_divinorum
n01708106 saurischian
n12931906 angelica
n12615232 eelgrass
n04409806 tennis_racket
n04016240 pruner
n11725821 anemone_nemorosa
n03499354 hatpin
n12370174 mammee
n11928858 mugwort
n04533802 videocassette_recorder
n11775340 rauvolfia
n00466630 match_play
n03739518 healthcare_facility
n07686634 simnel
n03927299 photostat
n11617878 knobcone_pine
n02992032 ward
n12023407 silver_lace
n01753959 pit_viper
n04492060 trunk_lid
n11943407 calendula
n07600696 caramel_apple
n02177196 water_beetle
n02278980 purple_emperor
n03119203 country_store
n13879320 trigon
n02793296 bar_magnet
n02656301 burrfish
n02438272 alpaca
n00452293 hunt
n03038685 schoolroom
n01593553 verdin
n03879705 pallette
n04108268 rope
n03449451 gourd
n04973386 burnt_sienna
n02407959 buffalo
n04030161 pyx
n03528901 home_plate
n04537436 virginal
n04257790 solar_battery
n01792955 broody
n03825080 nightwear
n07690892 scone
n03138344 pry
n02704949 amphitheatre
n01595974 house_martin
n02226970 locust
n06614901 outtake
n04402057 phone_line
n04967882 bottle_green
n07853345 double_gloucester
n02505998 mastodon
n04608329 writing_desk
n07735294 black_salsify
n03770224 minicomputer
n03086868 concertina
n04072551 rein
n04144241 scarf
n05526957 prepuce
n01905321 theca
n03929202 pickaxe
n02715513 antechamber
n07924560 grape_juice
n02606384 damselfish
n03180865 detached_house
n04533594 vicuna
n01669654 painted_turtle
n02924116 charabanc
n07731587 endive
n03489162 hand_tool
n07889193 wort
n03478907 hall
n03072201 color_tv
n02147591 cave_bat
n00482298 lawn_tennis
n12817694 alkanet
n02068206 beaked_whale
n03462747 ground
n02630739 billfish
n02731398 apse
n01545574 lyrebird
n10345015 nan
n02860415 bobbin
n11737125 nigella_sativa
n03604536 jumper
n02970408 tote_bag
n03449309 gouge
n11532682 volva
n03502897 header
n12110085 avena_sativa
n03919096 personnel_carrier
n03683606 locker
n10763383 server
n15091129 vitamin_b1
n02670382 particle_accelerator
n03441345 glove_compartment
n04415257 test_equipment
n04166111 security_system
n01998741 acorn_barnacle
n04097866 robe
n01561452 redstart
n03988758 postage_meter
n02417534 wild_goat
n02875436 rock_drill
n04518764 valise
n07672914 oleomargarine
n02975994 casein_paint
n01821869 budgie
n03610992 kerchief
n12274358 bur_oak
n04340521 stroboscope
n12112008 grama
n03220692 domed_stadium
n02823510 beer_can
n03332393 field_gun
n07607361 licorice
n03551582 hydraulic_ram
n02891188 brakes
n07694659 shortcake
n01914163 anthozoan
n12271643 red_oak
n01733957 gopher_snake
n04446162 threads
n07928578 phosphate
n04037076 rabbit_ears
n04403638 scope
n04969242 azure
n13900422 pillar
n04181228 trammel
n13866626 convex_polygon
n07870069 souvlaki
n11627512 tsuga_canadensis
n04111414 rotisserie
n07928790 pepsi_cola
n08494231 funfair
n13132756 thyrsus
n04348359 submersible
n06415688 jotter
n11628456 douglas_fir
n02918964 bumper_car
n04967191 green
n11632619 cupressus_sempervirens
n01549430 pewee
n03536122 horizontal_stabilizer
n13917690 truncated_pyramid
n04301760 standard_transmission
n02003204 marabout
n02372584 coney
n04951716 aura
n12771192 persimmon
n04585745 windlass
n04355115 sunday_best
n01671125 gopher
n10638922 sportsman
n03912218 pennywhistle
n07764315 sapota
n03547229 hovercraft
n03553486 gravimeter
n12865562 purple_sage
n02207805 worker_bee
n11916696 achillea_millefolium
n04602840 works
n02624807 spanish_mackerel
n02523427 eelpout
n10305635 medical_officer
n03533014 narghile
n03454110 grapnel
n02003839 jabiru
n02412787 hogget
n12633638 apple_tree
n07909954 curacao
n03548195 huck
n07860629 manna
n03795976 movie_projector
n09462600 troposphere
n02796207 barrel_vault
n12663359 coffea_canephora
n12935609 hemlock
n04426316 thong
n03404360 fur_hat
n13132656 panicle
n02973017 magazine
n02991048 cell
n04001845 pressure_suit
n12062468 helleborine
n03315644 facing
n09191635 air_bubble
n07557165 treat
n07806221 salad
n01918744 ctenophore
n11868814 crucifer
n03744276 computer_storage
n04463679 rails
n04373428 donkey_engine
n04290762 spy_satellite
n04112252 rotary_wing
n01551711 manakin
n11639445 mountain_pine
n13154388 pinnule
n01797601 sage_grouse
n09463226 tundra
n07584332 bisque
n07584423 borsht
n03331077 fez
n00446804 spar
n02811059 cage
n03397266 frigate
n04385079 tailor_made
n10120671 gardener
n03855333 oriel_window
n03906106 wooden_leg
n11910271 bleeding_heart
n07897200 hock
n02033208 greyback
n07562495 dietary_supplement
n12757303 bearberry
n03139089 crown
n03273913 fridge
n02388143 pacer
n02922798 gunny
n11705171 cassia
n04409128 pinnace
n03979377 polyester
n00470554 professional_football
n02767433 backrest
n11978713 helianthus_annuus
n07936548 carbonated_water
n13879320 triangle
n03141327 cruise_liner
n03665924 electric_light
n04374735 synagogue
n02824319 belfry
n12156819 grain
n07732302 hominy
n04080138 resonator
n10123844 full_general
n09315159 ion
n02341974 water_vole
n04579056 whiskey_bottle
n05469861 dendrite
n03682487 lock
n02976123 sheath_knife
n07818995 marjoram
n10735984 umpire
n04371563 swimming_costume
n03859000 outboard
n03658858 spirit_level
n03699975 machine
n04590746 windshield_wiper
n03199647 diner
n07921834 scrumpy
n04535370 villa
n02384741 steeplechaser
n02911332 polisher
n04247876 snaffle
n07927716 birch_beer
n02490811 pygmy_marmoset
n02689434 jackhammer
n03187751 dialyzer
n12336333 eucalyptus_camaldulensis
n03622058 klaxon
n03566193 incinerator
n01991028 slater
n04437953 timekeeper
n02786736 bandoneon
n04318982 still
n04409384 tenement
n03452267 gramophone
n03656484 lense
n03644378 reata
n12244153 rhododendron
n03536122 horizontal_stabiliser
n12545635 lotus_corniculatus
n02241426 true_bug
n04400499 telegraph
n01813948 turtledove
n12791064 philadelphus
n02801525 basin
n12202936 linden
n02921592 burette
n04052442 ranch
n07888378 shebeen
n02873623 boot_camp
n02062430 cetacean
n07922764 chocolate
n03055418 clutch
n08256735 wedding
n04456734 torpedo
n11623967 deodar
n03119203 trading_post
n04366116 suspension_system
n02031934 snipe
n02147947 pipistrelle
n03082807 compressor
n02336641 wood_mouse
n07903208 brandy
n02590702 bream
n03209910 floppy
n11879722 brassica_napus
n03401279 fuel_injection
n12227658 brier
n07881800 potable
n00433802 gymnastics
n03508101 warmer
n03098140 control_board
n10092794 first_lady
n03592245 pokey
n03883524 pannier
n02085019 feist
n02800213 mitt
n02432291 whitetail
n12416703 saffron
n02208280 apis_mellifera
n12589687 latanier
n11672269 bloomer
n03719343 mantelpiece
