n11845793 hedgehog_cactus
n02857477 boarding_house
n12932365 angelica_sylvestris
n03280394 electrostatic_machine
n02072493 narwal
n02092173 staghound
n03834040 nuclear_reactor
n02377388 gelding
n02865931 bolt
n11866248 cleome
n03039353 claymore
n12842887 calamint
n04093157 ringlet
n02071028 grampus
n01386007 pathogen
n07915618 manhattan
n03175189 denim
n03500209 hawser
n03527149 hollowware
n04172904 separate
n04190052 shelf
n03628728 crease
n03712337 mainsail
n04136045 sarcophagus
n07869611 jambalaya
n12365900 clusia
n04160586 hydroplane
n06274092 long_distance
n12926480 cassava
n07683138 host
n04168840 seismograph
n03098688 control_room
n03638180 lander
n09290444 gorge
n03977158 pole
n01495006 bonnethead
n04366116 suspension
n01663782 chelonia_mydas
n03432360 geiger_counter
n03697366 lem
n07592768 ratatouille
n01860002 trumpeter_swan
n03880531 cooking_pan
n02441326 mustelid
n02746365 artillery
n09270657 drumlin
n02413131 domestic_sheep
n03427202 rod
n02820210 bedclothes
n12866459 salvia_divinorum
n12931906 angelica
n02430045 cervid
n04409806 tennis_racket
n11725821 anemone_nemorosa
n03499354 hatpin
n12370174 mammee
n11928858 mugwort
n04533802 videocassette_recorder
n11775340 rauvolfia
n07621497 sabayon
n00466630 match_play
n03739518 healthcare_facility
n03927299 photostat
n04231693 ski_tow
n02992032 ward
n07600696 caramel_apple
n02177196 water_beetle
n03119203 country_store
n02656301 burrfish
n02438272 alpaca
n00452293 hunt
n03038685 schoolroom
n01593553 verdin
n08896327 sultanate
n03855214 organza
n04973386 burnt_sienna
n04030161 pyx
n02865665 bolt
n01495493 angelfish
n04257790 solar_battery
n02933990 cable_system
n03825080 nightwear
n02704949 amphitheatre
n01595974 house_martin
n02226970 locust
n06614901 outtake
n09389867 perforation
n04402057 phone_line
n02505998 mastodon
n07735294 black_salsify
n02471762 hominid
n03770224 minicomputer
n03086868 concertina
n04144241 scarf
n05526957 prepuce
n01905321 theca
n03929202 pickaxe
n04592596 wineskin
n03180865 detached_house
n04533594 vicuna
n07682197 crouton
n02924116 charabanc
n10582746 military_personnel
n03489162 hand_tool
n07731587 endive
n03297226 espalier
n07889193 wort
n03478907 hall
n03072201 color_tv
n03762434 mihrab
n01627424 amphibian
n04295881 arena
n00482298 lawn_tennis
n02147591 cave_bat
n02068206 beaked_whale
n07739035 windfall
n02630739 billfish
n02731398 apse
n03462747 ground
n10345015 nan
n02860415 bobbin
n11737125 nigella_sativa
n03604536 jumper
n11532682 volva
n01442710 rudd
n03502897 header
n12110085 avena_sativa
n02338145 muskrat
n06267758 school_paper
n03683606 locker
n10763383 server
n02570164 jewfish
n15091129 vitamin_b1
n11611356 pinus_rigida
n03441345 glove_compartment
n04415257 test_equipment
n04166111 security_system
n01998741 acorn_barnacle
n04097866 robe
n03723439 marriage_bed
n03305953 etd
n03988758 postage_meter
n01577035 sturnus_vulgaris
n02875436 rock_drill
n09820263 jock
n03475823 hairdressing
n03369276 flugelhorn
n07672914 oleomargarine
n01821869 budgie
n03610992 kerchief
n04340521 stroboscope
n12112008 grama
n03220692 domed_stadium
n02823510 beer_can
n00466880 croquet
n05578095 heel
n03332393 field_gun
n01629962 spotted_salamander
n07607361 licorice
n02891188 brakes
n07694659 shortcake
n12271643 red_oak
n04037076 rabbit_ears
n04403638 scope
n04969242 azure
n13900422 pillar
n04181228 trammel
n07870069 souvlaki
n11627512 tsuga_canadensis
n07928790 pepsi_cola
n08494231 funfair
n09453008 plateau
n04348359 submersible
n06415688 jotter
n12711984 lime_tree
n11628456 douglas_fir
n03953020 business_establishment
n02918964 bumper_car
n04967191 green
n11632619 cupressus_sempervirens
n01549430 pewee
n03536122 horizontal_stabilizer
n04506895 ultrasuede
n04545471 zimmer
n13917690 truncated_pyramid
n04301760 standard_transmission
n02003204 marabout
n04951716 aura
n03193107 diesel_engine
n04355115 sunday_best
n02067240 sperm_whale
n01671125 gopher
n03912218 pennywhistle
n07764315 sapota
n03547229 hovercraft
n03553486 gravimeter
n12865562 purple_sage
n02207805 worker_bee
n11916696 achillea_millefolium
n04602840 works
n10305635 medical_officer
n03533014 narghile
n04095210 river_boat
n03454110 grapnel
n02412787 hogget
n01662784 turtle
n12633638 apple_tree
n12246232 blueberry
n07909954 curacao
n02207345 queen_bee
n03548195 huck
n09462600 troposphere
n02796207 barrel_vault
n12663359 coffea_canephora
n04426316 thong
n03404360 fur_hat
n13132656 panicle
n04001845 pressure_suit
n02981911 trebuchet
n09263912 gorge
n09191635 air_bubble
n07557165 treat
n01918744 ctenophore
n03744276 computer_storage
n04513827 upholstery
n04463679 rails
n02430045 deer
n04373428 donkey_engine
n04290762 spy_satellite
n03572107 inkle
n01551711 manakin
n03062336 cocotte
n11639445 mountain_pine
n13154388 pinnule
n02916350 bullet
n11758122 lightwood
n01797601 sage_grouse
n04067353 reef_knot
n04543996 wainscot
n07584332 bisque
n03331077 fez
n00446804 spar
n02811059 cage
n03916470 perfumery
n04385079 tailor_made
n12833985 streptocarpus
n04186624 shawm
n03836976 rayons
n10120671 gardener
n03855333 oriel_window
n11910271 bleeding_heart
n07562495 dietary_supplement
n12757303 bearberry
n03139089 crown
n03273913 fridge
n02626265 kingfish
n02388143 pacer
n03359566 flask
n02922798 gunny
n11705171 cassia
n02326862 european_hare
n03979377 polyester
n00470554 professional_football
n02767433 backrest
n11978713 helianthus_annuus
n07936548 carbonated_water
n03141327 cruise_liner
n02667478 abbey
n04374735 synagogue
n12156819 grain
n07732302 hominy
n04080138 resonator
n07900825 port
n03730153 materiel
n09315159 ion
n02210427 mining_bee
n05469861 dendrite
n02976123 sheath_knife
n07818995 marjoram
n10735984 umpire
n03859000 outboard
n13912260 tree_diagram
n03699975 machine
n09403427 rainbow
n03199647 diner
n02384741 steeplechaser
n02239192 chinch_bug
n02911332 polisher
n04247876 snaffle
n07927716 birch_beer
n02490811 pygmy_marmoset
n02689434 jackhammer
n03187751 dialyzer
n12336333 eucalyptus_camaldulensis
n03622058 klaxon
n03566193 incinerator
n01991028 slater
n04437953 timekeeper
n02786736 bandoneon
n03181667 detention_house
n07849733 whey
n04409384 tenement
n03452267 gramophone
n03656484 lense
n12045860 arethusa
n03644378 reata
n03536122 horizontal_stabiliser
n12545635 lotus_corniculatus
n02241426 true_bug
n01813948 turtledove
n12791064 philadelphus
n12202936 linden
n02921592 burette
n04052442 ranch
n03500389 hay_bale
n07888378 shebeen
n02873623 boot_camp
n03965456 mall
n03547054 hut
n07922764 chocolate
n09436708 sky
n03055418 clutch
n04002629 primary
n04456734 torpedo
n07851926 processed_cheese
n11623967 deodar
n03119203 trading_post
n04366116 suspension_system
n12737898 mistletoe
n03585875 ironing
n11647703 kauri
n02147947 pipistrelle
n02336641 wood_mouse
n07903208 brandy
n02590702 bream
n03209910 floppy
n02045596 auklet
n07580253 special
n03401279 fuel_injection
n12227658 brier
n07881800 potable
n03858418 pouf
n03098140 control_board
n03592245 pokey
n02085019 feist
n02800213 mitt
n02432291 whitetail
n12416703 saffron
n02208280 apis_mellifera
n13139647 husk
n01791625 chicken
n11672269 bloomer
n03719343 mantelpiece
n02877962 bottle_opener
n11978233 sunflower
n02004492 jabiru
n01619536 condor
n03122073 covered_bridge
n01755740 timber_rattlesnake
n01480106 placoderm
n04533802 vcr
n08555710 crawl_space
n12648045 peach_tree
n02749670 assagai
n04139859 savings_bank
n02236241 praying_mantis
n02759387 autogyro
n11727091 aquilegia
n11971248 gazania
n02863750 steam_boiler
