n11845793 hedgehog_cactus
n02857477 boarding_house
n03280394 electrostatic_machine
n01538200 yellowhammer
n03834040 nuclear_reactor
n02377388 gelding
n02865931 bolt
n03039353 claymore
n01386007 pathogen
n07915618 manhattan
n03175189 denim
n03500209 hawser
n03527149 hollowware
n02904640 broadsword
n04273796 speedometer
n04172904 separate
n02958343 motorcar
n04190052 shelf
n07606058 jujube
n03628728 crease
n03712337 mainsail
n04136045 sarcophagus
n02903727 broadcloth
n00483848 pallone
n12365900 clusia
n04160586 hydroplane
n08659331 coalface
n06274092 long_distance
n11616662 pinus_sylvestris
n04168840 seismograph
n03098688 control_room
n03638180 lander
n04459018 toupee
n03977158 pole
n09290444 gorge
n05261310 thatch
n01495006 bonnethead
n01663782 chelonia_mydas
n03432360 geiger_counter
n03697366 lem
n07592768 ratatouille
n13127843 offset
n02441326 mustelid
n02746365 artillery
n09270657 drumlin
n03410147 gaff
n03427202 rod
n04165945 security_system
n01708106 saurischian
n12931906 angelica
n12615232 eelgrass
n02430045 cervid
n04016240 pruner
n11725821 anemone_nemorosa
n03499354 hatpin
n04079244 residence
n12370174 mammee
n11928858 mugwort
n03739518 healthcare_facility
n11775340 rauvolfia
n07621497 sabayon
n00466630 match_play
n07686634 simnel
n03927299 photostat
n04231693 ski_tow
n02992032 ward
n12023407 silver_lace
n04492060 trunk_lid
n11943407 calendula
n02278980 purple_emperor
n03119203 country_store
n13879320 trigon
n02793296 bar_magnet
n02656301 burrfish
n02438272 alpaca
n00452293 hunt
n03879705 pallette
n03449451 gourd
n03855214 organza
n02407959 buffalo
n04030161 pyx
n03528901 home_plate
n02865665 bolt
n01495493 angelfish
n04104147 rolodex
n02933990 cable_system
n03825080 nightwear
n02704949 amphitheatre
n01595974 house_martin
n02332156 mus_musculus
n09389867 perforation
n04967882 bottle_green
n02505998 mastodon
n04608329 writing_desk
n02471762 hominid
n03770224 minicomputer
n03086868 concertina
n04072551 rein
n04144241 scarf
n05526957 prepuce
n01905321 theca
n04592596 wineskin
n03180865 detached_house
n04533594 vicuna
n01669654 painted_turtle
n02924116 charabanc
n10582746 military_personnel
n03489162 hand_tool
n07731587 endive
n03297226 espalier
n07889193 wort
n03478907 hall
n03072201 color_tv
n03762434 mihrab
n01627424 amphibian
n04295881 arena
n00482298 lawn_tennis
n12817694 alkanet
n02147591 cave_bat
n02068206 beaked_whale
n07739035 windfall
n02630739 billfish
n03462747 ground
n01545574 lyrebird
n10345015 nan
n11737125 nigella_sativa
n03604536 jumper
n02970408 tote_bag
n11532682 volva
n01442710 rudd
n03502897 header
n04971211 carnation
n12110085 avena_sativa
n02338145 muskrat
n06267758 school_paper
n03683606 locker
n10763383 server
n15091129 vitamin_b1
n04384910 rear_lamp
n02670382 particle_accelerator
n03441345 glove_compartment
n04415257 test_equipment
n09421799 sandbank
n04166111 security_system
n01998741 acorn_barnacle
n01561452 redstart
n03305953 etd
n04431745 pushpin
n01577035 sturnus_vulgaris
n02875436 rock_drill
n09820263 jock
n04518764 valise
