n06281040 reception
n09834699 ballet_dancer
n02902916 broad_arrow
n00449168 speed_skating
n03779128 mohair
n04104147 rolodex
n04122685 sachet
n01558149 throstle
n01558149 song_thrush
n01558149 mavis
n04448070 toilet_water
n07889814 bitter
n03088707 conductor
n03322704 greenmarket
n03322704 green_market
n10164492 head_nurse
n04184316 shantung
n07852833 camembert
n03362639 fleece
n03451365 grade_separation
n12408280 slippery_elm
n11889619 candytuft
n02061853 diving_petrel
n02926591 bustle
n03063968 coffee_table
n13874073 equator
n03649674 lawn_chair
n07890617 kvass
n00479734 fives
n03704834 magic_lantern
n03123917 cowbell
n04023422 punchboard
n07691539 brioche
n03546235 housetop
n03801533 vaudeville_theater
n03801533 music_hall
n03801533 vaudeville_theatre
n03044801 clip_on
n07893642 champagne
n07893642 bubbly
n13038068 gyromitra_esculenta
n00445226 water_skiing
n02064816 blue_whale
n02878425 boucle
n03039827 dry_cleaners
n03039827 cleaners
n03027625 chukka
n03822767 newtonian_reflector
n03822767 newtonian_telescope
n03687137 loggia
n03011018 chatelaine
n09858165 black_belt
n04052658 ranch_house
n03906590 pelican_crossing
n07687053 wafer
n02295390 cutworm
n03664943 ligament
n07803310 buckwheat
n04395106 plaid
n04395106 tartan
n04302988 stanley_steamer
n02201000 aedes_albopictus
n02864504 bolero
n04228581 ski_boot
n02643112 scorpionfish
n04538552 vise
n04173511 sequencer
n03269073 electrical_contact
n07848936 ghee
