n04351699 suiting
n01892030 common_shrew
n04603729 work_table
n01597906 western_tanager
n07731767 belgian_endive
n02210427 mining_bee
n02210427 andrena
n01841943 piculet
n07854266 muenster
n03822767 newtonian_reflector
n03822767 newtonian_telescope
n07643200 strawberry_jam
n06596727 slick
n06596727 glossy
n03209477 disk_controller
n03517899 high_altar
n04357930 supercharger
n04471912 transit_instrument
n04387932 tampax
n07620145 roly_poly
n12322099 mockernut_hickory
n12322099 mockernut
n11617878 knobcone_pine
n04179126 sewerage
n04179126 cloaca
n04179126 sewer
n03571439 injector
n04967882 bottle_green
n01554448 woodcreeper
n13013534 lepiota
n01664990 eretmochelys_imbricata
n01664990 hawksbill
n01664990 hawkbill
n01664990 hawksbill_turtle
n03622839 knee_brace
n04477725 treasure_ship
n07903962 grappa
n04200537 shoehorn
n02689144 airframe
n03485198 hand_mirror
n12129738 phalaris_arundinacea
n01569566 blackpoll
n04170933 selvage
n04170933 selvedge
n07896287 dessert_wine
n13201969 woodsia
n12117017 crabgrass
n07838811 mushroom_sauce
n07576438 picnic
n03449309 gouge
n04403524 teleprompter
n07800740 fodder
n04360798 support_column
n12507823 rooibos
n02802544 basketball_court
n12677612 snowberry
n04328054 stopper_knot
n11857696 portulaca
n01405007 fucus
n13919919 keel
n01573627 cacique
n02462213 coronet
n02129923 tigress
n01530439 chaffinch
n01684133 skink
n04108999 rope_tow
n02271897 thrips
n04477548 treasure_chest
n03010795 chasuble
n03447358 golliwog
n01573240 eastern_meadowlark
n02942147 cambric
n01958435 cherrystone
n03031422 cigarette_lighter
n02745611 artificial_horizon
n03309465 ocular
n03309465 eyepiece
n03637480 lanai
n03954393 planchet
n07714287 chinese_cabbage
n12201580 cacao_tree
n12201580 theobroma_cacao
n12201580 cacao
n03169063 decoder
n01831360 tody
n02116450 raccoon_dog
n03321563 fanny_pack
n03329663 ferryboat
n03329663 ferry
n03204436 dipstick
n02317781 brittle_star
n05459457 leydig_cell
n04067818 refectory
n03939844 pilot_light
n02995871 centrifugal_pump
n01674990 gecko
n09245515 cwm
n09245515 cirque
n09245515 corrie
n01493541 spiny_dogfish
n04172904 separate
n01951274 sea_hare
n04355511 sundress
n05282652 diastema
n03029445 churn
n03029445 butter_churn
n09249034 gap
n09249034 col
n02576906 crevalle_jack
n03322836 farmhouse
n11926365 silversword
n02405929 aberdeen_angus
n02405929 angus
n02405929 black_angus
n02699915 altazimuth
n01588002 brown_thrasher
n03205304 direction_finder
n12682411 teasle
n12682411 teasel
n04036776 rebate
n04036776 rabbet
n02505998 mastodon
n12939874 hogweed
n12939874 cow_parsnip
n12939874 heracleum_sphondylium
n04103364 rolling_stock
n04462011 toy_box
n03440876 glory_hole
n03440876 lazaretto
n07703889 hasty_pudding
n02386968 clydesdale
n07855105 gruyere
n05604434 abdominal_wall
n03238879 dress_shirt
n02890662 brake_pad
n12407222 dutch_elm
n12285512 red_alder
n01858906 cygnet
n04404200 teletypewriter
n04404200 teleprinter
n04404200 telex
n07846471 condensed_milk
n07804900 paddy
n04351550 suite
n04351550 rooms
n04358117 supercomputer
n02456008 tatu
n12269241 live_oak
n03892425 parquetry
n11791569 pistia
n03649161 lavalliere
n11625391 engelmann_spruce
n04482297 tricot
n11549895 zoospore
n01339336 herpes_zoster
n02762508 autostrada
n11737125 nigella_sativa
n03154895 cutwork
n12753245 sugar_maple
n12753245 acer_saccharum
n04022434 pump_action
n03615790 khukuri
n04382695 tachograph
n06273555 call_in
n12729315 black_willow
n07919787 decaffeinated_coffee
n07919787 decaf
n04525584 venetian_blind
n09308743 ice_cap
n09308743 icecap
n03664159 life_support
n02696165 alehouse
n04467899 trailing_edge
n03488887 rubber_stamp
n03488887 handstamp
n04536153 viol
n03492922 tin_hat
n03492922 hard_hat
n02338722 cotton_rat
n01579260 raven
n01579260 corvus_corax
n03770834 miniver
n01971620 loligo
n04173511 sequencer
n14698884 gravel
n14698884 crushed_rock
